-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2015 through 01/01/2020 
Location: Latitude  50.1215   Longitude 22.0097 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 230.89 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2M,RH2M,PS,WS50M,WS10M,WS50M_RANGE,WS10M_RANGE,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
50.12151,22.00971,2015,02,13,    9.46,   -2.24,   -2.04,   89.00,   99.69,    4.96,    3.27,    4.90,    1.90,              2.37,              2.37
50.12151,22.00971,2015,02,14,   11.63,   -2.32,   -1.55,   85.13,   99.17,    5.50,    3.28,    3.38,    1.14,              2.43,              2.43
50.12151,22.00971,2015,02,15,    9.50,   -1.56,   -1.09,   85.53,   99.37,    5.25,    3.48,    7.63,    5.33,              2.48,              2.20
50.12151,22.00971,2015,02,16,    8.29,   -3.26,   -3.24,   75.12,  100.31,    9.88,    7.54,    3.63,    3.44,              2.60,              2.60
50.12151,22.00971,2015,02,17,   11.33,   -6.52,   -6.17,   65.01,  100.97,    9.15,    6.42,    3.68,    5.31,              2.65,              2.65
50.12151,22.00971,2015,02,18,   14.58,   -3.82,   -3.53,   81.25,  100.88,    6.32,    3.96,    3.45,    2.10,              2.65,              2.65
50.12151,22.00971,2015,02,19,    6.47,   -0.06,    0.09,   87.36,  100.03,    7.58,    5.45,    3.01,    3.64,-999,              1.81
50.12151,22.00971,2015,02,20,    9.09,    0.98,    1.31,   80.55,   99.20,    7.18,    4.67,    4.18,    2.28,-999,              2.54
50.12151,22.00971,2015,02,21,    5.59,   -0.10,    0.59,   85.94,   98.11,    8.74,    5.65,    3.80,    2.66,-999,              1.72
50.12151,22.00971,2015,02,22,   10.15,    1.51,    2.79,   82.46,   98.10,    5.35,    3.44,    5.80,    3.02,-999,              2.77
50.12151,22.00971,2015,02,23,   10.36,    3.54,    4.09,   90.44,   97.86,    5.25,    3.35,    7.84,    4.43,-999,              2.76
